///////////////////////////////////////////////////////////10 sec///////////////////////////////////////////////////////////
Accuracy: 21.54%
Audio File: dato_征服.wav, Best Match: 愛上你的一切, Edit Distance: 26.823846407094905
Audio File: dato_新不了情.wav, Best Match: 寧夏, Edit Distance: 23.18423034558139
Audio File: lugo_兩隻老虎.wav, Best Match: 有一種勇氣叫放棄, Edit Distance: 25.94896965420977
Audio File: lugo_分享.wav, Best Match: 十個小印地安人, Edit Distance: 8.209281222703495
Audio File: lugo_分手吧.wav, Best Match: 愛我別走, Edit Distance: 12.230457243000906
Audio File: lugo_好不好.wav, Best Match: 三輪車, Edit Distance: 0.0                             //實際打開發現可能是演唱太小聲測不到onset，或是閾值需要調整
Audio File: lugo_妹妹背著洋娃娃.wav, Best Match: 比較愛, Edit Distance: 41.15387642344214
Audio File: lugo_對面的女孩看過來.wav, Best Match: 對面的女孩看過來, Edit Distance: 17.3847308260207
Audio File: lugo_征服.wav, Best Match: 征服, Edit Distance: 13.978587312132106
Audio File: lugo_志明與春嬌.wav, Best Match: 與你到永久, Edit Distance: 4.016157145945019
Audio File: lugo_愛你一萬年.wav, Best Match: 倒帶, Edit Distance: 13.03599821666814
Audio File: lugo_愛情釀的酒.wav, Best Match: 勇氣, Edit Distance: 7.420114610717938
Audio File: lugo_挪威的森林.wav, Best Match: 三輪車, Edit Distance: 0.0
Audio File: lugo_擁抱.wav, Best Match: 兒歌, Edit Distance: 7.884102771413616
Audio File: lugo_新不了情.wav, Best Match: 新不了情, Edit Distance: 13.503096151369704
Audio File: lugo_朋友.wav, Best Match: 三輪車, Edit Distance: 0.0
Audio File: lugo_浪人情歌.wav, Best Match: 普通朋友, Edit Distance: 0.9640227602855873
Audio File: lugo_溫柔.wav, Best Match: 檸檬樹, Edit Distance: 13.380447801222942
Audio File: lugo_火車快飛.wav, Best Match: 靜止, Edit Distance: 0.5976722591626782
Audio File: lugo_用心良苦.wav, Best Match: 三輪車, Edit Distance: 0.0
Audio File: lugo_痛哭的人.wav, Best Match: 征服, Edit Distance: 16.66565814398858
Audio File: lugo_約定.wav, Best Match: 三輪車, Edit Distance: 0.0
Audio File: lugo_自由.wav, Best Match: 泥娃娃, Edit Distance: 5.832960270722815
Audio File: lugo_至少還有你.wav, Best Match: 深海, Edit Distance: 8.49681939450305
Audio File: lugo_花心.wav, Best Match: 花心, Edit Distance: 29.913979729466337
Audio File: lugo_被動.wav, Best Match: 想和你去吹吹風, Edit Distance: 9.372181869104374
Audio File: lugo_還是會寂寞.wav, Best Match: 還是會寂寞, Edit Distance: 19.06290462938273
