///////////////////////////////////////////////////////////10 sec///////////////////////////////////////////////////////////
Accuracy: 29.23%
Audio File: dato_征服.wav, Best Match: 猜不透, Edit Distance: 11.75
Audio File: dato_新不了情.wav, Best Match: 聽海, Edit Distance: 14.8
Audio File: lugo_兩隻老虎.wav, Best Match: 至少還有你, Edit Distance: 11.775
Audio File: lugo_分享.wav, Best Match: 一路上有你, Edit Distance: 8.05
Audio File: lugo_分手吧.wav, Best Match: 愛我別走, Edit Distance: 8.95
Audio File: lugo_好不好.wav, Best Match: 溫柔, Edit Distance: 5.825000000000001
Audio File: lugo_妹妹背著洋娃娃.wav, Best Match: 魚兒魚兒水中游, Edit Distance: 13.025
Audio File: lugo_對面的女孩看過來.wav, Best Match: 遇見, Edit Distance: 10.100000000000001
Audio File: lugo_征服.wav, Best Match: 征服, Edit Distance: 12.3
Audio File: lugo_志明與春嬌.wav, Best Match: 痛哭的人, Edit Distance: 8.8
Audio File: lugo_愛你一萬年.wav, Best Match: 倒帶, Edit Distance: 11.9
Audio File: lugo_愛情釀的酒.wav, Best Match: 我是一棵秋天的樹, Edit Distance: 8.0
Audio File: lugo_挪威的森林.wav, Best Match: 愛笑的眼睛, Edit Distance: 1.0
Audio File: lugo_擁抱.wav, Best Match: 擁抱, Edit Distance: 12.650000000000002
Audio File: lugo_新不了情.wav, Best Match: 很愛過, Edit Distance: 9.4
Audio File: lugo_朋友.wav, Best Match: 愛你一萬年, Edit Distance: 3.3750000000000004
Audio File: lugo_浪人情歌.wav, Best Match: 我是隻小小鳥, Edit Distance: 8.325
Audio File: lugo_溫柔.wav, Best Match: 倒帶, Edit Distance: 10.700000000000001
Audio File: lugo_火車快飛.wav, Best Match: 火車快飛, Edit Distance: 4.5
Audio File: lugo_用心良苦.wav, Best Match: 吻別, Edit Distance: 1.75
Audio File: lugo_痛哭的人.wav, Best Match: 征服, Edit Distance: 11.0
Audio File: lugo_約定.wav, Best Match: 約定, Edit Distance: 4.4
Audio File: lugo_自由.wav, Best Match: 當你, Edit Distance: 11.35
Audio File: lugo_至少還有你.wav, Best Match: 寧夏, Edit Distance: 11.75
Audio File: lugo_花心.wav, Best Match: 火車快飛, Edit Distance: 14.600000000000001
Audio File: lugo_被動.wav, Best Match: 火車快飛, Edit Distance: 11.750000000000002
Audio File: lugo_還是會寂寞.wav, Best Match: 愛我別走, Edit Distance: 10.9
Audio File: lugo_靜止.wav, Best Match: 靜止, Edit Distance: 9.8
Audio File: miller_一閃一閃亮晶晶.wav, Best Match: 當你, Edit Distance: 7.8500000000000005
Audio File: negro_對面的女孩看過來.wav, Best Match: 天黑黑, Edit Distance: 1.7750000000000001
Audio File: puhos_一閃一閃亮晶晶.wav, Best Match: 一閃一閃亮晶晶, Edit Distance: 1.4000000000000001
Audio File: sakuku_妹妹背著洋娃娃.wav, Best Match: 用心良苦, Edit Distance: 5.8500000000000005
Audio File: sakuku_對面的女孩看過來.wav, Best Match: 分享, Edit Distance: 0.05
Audio File: sakuku_志明與春嬌.wav, Best Match: 潑水歌, Edit Distance: 1.0250000000000001
Audio File: sakuku_愛情釀的酒.wav, Best Match: 猜不透, Edit Distance: 3.0500000000000003
Audio File: sakuku_擁抱.wav, Best Match: 十個小印地安人, Edit Distance: 7.6000000000000005
Audio File: sakuku_新不了情.wav, Best Match: 她說, Edit Distance: 0.30000000000000004
Audio File: sakuku_朋友.wav, Best Match: 花心, Edit Distance: 6.200000000000001
Audio File: scott_好不好.wav, Best Match: 天黑黑, Edit Distance: 7.75
Audio File: scott_對面的女孩看過來.wav, Best Match: 可以不可以, Edit Distance: 2.0500000000000003
Audio File: scott_征服.wav, Best Match: 星晴, Edit Distance: 7.5
Audio File: scott_擁抱.wav, Best Match: 娃娃國, Edit Distance: 5.825000000000001
Audio File: scott_新不了情.wav, Best Match: 新不了情, Edit Distance: 9.35
Audio File: scott_朋友.wav, Best Match: 可惜沒如果, Edit Distance: 13.775
Audio File: scott_溫柔.wav, Best Match: 溫柔, Edit Distance: 3.1500000000000004
Audio File: scott_至少還有你.wav, Best Match: 挪威的森林, Edit Distance: 12.7
Audio File: test_志明與春嬌.wav, Best Match: 約定, Edit Distance: 11.650000000000002
Audio File: test_挪威的森林.wav, Best Match: 原來你什麼都不想要, Edit Distance: 4.575
Audio File: test_朋友.wav, Best Match: 天黑黑, Edit Distance: 11.600000000000001
Audio File: test_用心良苦.wav, Best Match: 我學會飛翔, Edit Distance: 13.750000000000002
Audio File: torin_一閃一閃亮晶晶.wav, Best Match: 一閃一閃亮晶晶, Edit Distance: 10.4
Audio File: torin_倒帶.wav, Best Match: 倒帶, Edit Distance: 10.3
Audio File: torin_凍結.wav, Best Match: 凍結, Edit Distance: 18.400000000000002
Audio File: torin_娃娃國.wav, Best Match: 娃娃國, Edit Distance: 13.9
Audio File: torin_家.wav, Best Match: 被動, Edit Distance: 8.25
Audio File: torin_小手拉大手.wav, Best Match: 小手拉大手, Edit Distance: 15.3
Audio File: torin_小毛驢.wav, Best Match: 開不了口, Edit Distance: 16.150000000000002
Audio File: torin_小白花.wav, Best Match: 吻別, Edit Distance: 10.175
Audio File: torin_小蜜蜂.wav, Best Match: 小蜜蜂, Edit Distance: 13.600000000000001
Audio File: torin_愛笑的眼睛.wav, Best Match: 她說, Edit Distance: 11.4
Audio File: torin_溫柔.wav, Best Match: 溫柔, Edit Distance: 6.4
Audio File: torin_當你.wav, Best Match: 當你, Edit Distance: 14.500000000000002
Audio File: torin_當我們同在一起.wav, Best Match: 當我們同在一起, Edit Distance: 5.8500000000000005
Audio File: torin_蝴蝶.wav, Best Match: 蝴蝶, Edit Distance: 10.55
Audio File: torin_記得.wav, Best Match: 記得, Edit Distance: 5.65
///////////////////////////////////////////////////////////15 sec///////////////////////////////////////////////////////////
Accuracy: 50.00%
Audio File: 15bow_在凌晨.wav, Best Match: 她說, Edit Distance: 13.5
Audio File: 15bow_情非得已.wav, Best Match: 天黑黑, Edit Distance: 19.450000000000003
Audio File: 15bow_愛很簡單.wav, Best Match: 有一種勇氣叫放棄, Edit Distance: 25.3
Audio File: 15bow_愛我別走.wav, Best Match: 靜止, Edit Distance: 10.25
Audio File: 15bow_新不了情.wav, Best Match: 聽海, Edit Distance: 16.85
Audio File: 15bow_星晴.wav, Best Match: 星晴, Edit Distance: 19.75
Audio File: 15bow_還是會寂寞.wav, Best Match: 可惜不是你, Edit Distance: 15.525000000000002
Audio File: 15lugo_一閃一閃亮晶晶.wav, Best Match: 一閃一閃亮晶晶, Edit Distance: 15.450000000000001
Audio File: 15lugo_兩隻老虎.wav, Best Match: 小小的太陽, Edit Distance: 16.05
Audio File: 15lugo_分享.wav, Best Match: 花心, Edit Distance: 29.1
Audio File: 15lugo_分手吧.wav, Best Match: 分手吧, Edit Distance: 13.100000000000001
Audio File: 15lugo_好不好.wav, Best Match: 好不好, Edit Distance: 25.75
