--------------------------Now, Final Results in C:/Users/mrjac/Desktop/丁建均老師信號處理專題/QBH_project/hummingdata/10 is--------------------------
Accuracy: 27.69%
Audio File: dato_征服.wav, Best Match: 猜不透, Score: 13.75
Audio File: dato_新不了情.wav, Best Match: 聽海, Score: 18.05
Audio File: lugo_兩隻老虎.wav, Best Match: 溫柔, Score: 14.56
Audio File: lugo_分享.wav, Best Match: 一路上有你, Score: 9.41
Audio File: lugo_分手吧.wav, Best Match: 愛我別走, Score: 10.72
Audio File: lugo_好不好.wav, Best Match: 溫柔, Score: 6.56
Audio File: lugo_妹妹背著洋娃娃.wav, Best Match: 分手吧, Score: 16.30
Audio File: lugo_對面的女孩看過來.wav, Best Match: 遇見, Score: 12.59
Audio File: lugo_征服.wav, Best Match: 征服, Score: 15.23
Audio File: lugo_志明與春嬌.wav, Best Match: 痛哭的人, Score: 10.72
Audio File: lugo_愛你一萬年.wav, Best Match: 倒帶, Score: 13.80
Audio File: lugo_愛情釀的酒.wav, Best Match: 我是一棵秋天的樹, Score: 9.06
Audio File: lugo_挪威的森林.wav, Best Match: 天黑黑, Score: 1.22
Audio File: lugo_擁抱.wav, Best Match: 擁抱, Score: 14.96
Audio File: lugo_新不了情.wav, Best Match: 很愛過, Score: 11.46
Audio File: lugo_朋友.wav, Best Match: 愛你一萬年, Score: 3.60
Audio File: lugo_浪人情歌.wav, Best Match: 我是隻小小鳥, Score: 9.49
Audio File: lugo_溫柔.wav, Best Match: 倒帶, Score: 12.75
Audio File: lugo_火車快飛.wav, Best Match: 一千年以後, Score: 5.66
Audio File: lugo_用心良苦.wav, Best Match: 吻別, Score: 2.35
Audio File: lugo_痛哭的人.wav, Best Match: 愛笑的眼睛, Score: 13.85
Audio File: lugo_約定.wav, Best Match: 約定, Score: 4.65
Audio File: lugo_自由.wav, Best Match: 當你, Score: 13.69
Audio File: lugo_至少還有你.wav, Best Match: 寧夏, Score: 13.82
Audio File: lugo_花心.wav, Best Match: 火車快飛, Score: 17.71
Audio File: lugo_被動.wav, Best Match: 火車快飛, Score: 14.70
Audio File: lugo_還是會寂寞.wav, Best Match: 愛我別走, Score: 13.95
Audio File: lugo_靜止.wav, Best Match: 靜止, Score: 12.05
Audio File: miller_一閃一閃亮晶晶.wav, Best Match: 當你, Score: 9.61
Audio File: negro_對面的女孩看過來.wav, Best Match: 當我們同在一起, Score: 2.35
